Name,City,State,"Coordi,ats",Ratings
ArakuValley,Vishakapatanam,AndhraPradesh,"18.3273,82.8775",4
PrakasamBarrage,Vijayawada,AndhraPradesh,"16.5074,80.6052",4.6
RamaKrishnaBeach,Vishakapatanam,AndhraPradesh,"17.7142,83.3237",4.5
KondaReddyFort,Kurnool,AndhraPradesh,"1550′1.46″,782′55.04″",4.5
SrikalahasthiTemple,Tirupati,AndhraPradesh,"13.7494,79.6983",4.7
KanakaDurgaTemple,Vijayawada,AndhraPradesh,"16.5154,80.6059",4.7
SriVenkateswaraSwamyVaariTemple,Tirupati,AndhraPradesh,"13.6833,79.3474",4.7
SriVeeraVenkataSatyanarayanaSwamy,Annavaram,AndhraPradesh,"17.2827,82.4010",4.7
GodavariArchBridge,Rajamahendravaram,AndhraPradesh,"1700′28.2″,8145′21″",4.5
EthipothalaFalls,Palnadu,AndhraPradesh,"16.5343,79.4028",4.4
SrisailamReservoir,Srisailam,AndhraPradesh,"16.0869,78.8965",4.6
SriBhramarambaMallikarjunaTemple,Srisailam,AndhraPradesh,"16.0733,78.8687",4.7
BorraCaves,Vishakapatanam,AndhraPradesh,"18.2807,83.0397",4.5
Lambasingi,Vishakapatanam,AndhraPradesh,"17.8186,82.4922",4.5
VeerabhadraSwamyTemple,Lepakshi,AndhraPradesh,"13.8018,77.6094",4.6
Maredumilli,Rajahmahendravaram,AndhraPradesh,"17.5983,81.7135",4.5
GandikotaFort,Kadapa,AndhraPradesh,"14.813433,78.284757",4.5
Vanjangi,Vishakapatanam,AndhraPradesh,"18.0369,82.6619",4.5
IskonTemple,Ananthapuram,AndhraPradesh,"1443'20"",7736'15""",4
UndavalliCaves,Vijayawada,AndhraPradesh,"16.4957,80.5800",4.2
SriAurobindoAshram,Pondicherry,Tamilnadu,"11.55,79.47",4.4
Kodaikanal,Dindugul,Tamilnadu,"10.2381,77.4892",4.5
BhagavathiAmmanTemple,Kanyakumari,Tamilnadu,"8.0883,77.5385",4
Brihadeshwaratemple,Thanjavur,Tamilnadu,"10.7828,79.1318",4.8
Dhanushkodi,Pambanisland,Tamilnadu,"9.1794,79.4183",4.5
MarudhamalaiArulmiguSubramanyaSwamiTemple,Coimbatore,Tamilnadu,"11.0465,76.8518",4.7
MarinaBeach,Chennai,Tamilnadu,"13.0500,80.2824",4.3
KapaleeshwararTemple(LordShiva),Chennai,Tamilnadu,"1302′0″,8016′6″",4.8
MadhuraMeenakshiTemple,Madhurai,Tamilnadu,"9.9195,78.1193",4.5
CovelongBeach,Chennai,Tamilnadu,"12.7898,80.2542",4
VivekanandaRockmemorial,Kanyakumari,Tamilnadu,"8.0781,77.5553",4.6
MahaShivaAdiyogiStatue ,Coimbatore,Tamilnadu,"10.9725,76.7405",4.7
RamanathaswamyTemple,Rameswaram,Tamilnadu,"9.288106,79.317282",4.6
ThillaiNatarajaTemple,Chidambaram,Tamilnadu,"11.3993,79.6935",4.7
VelloreFort,Vellore,Tamilnadu,"12.9211,79.1295",4.3
SriLakshmiNarayaniGoldenTemple,Vellore,Tamilnadu,"12.8741,79.0883",4.4
FiveFalls,Courtallam,Tamilnadu,"855'52"",7714'18""",4.5
KamakshiAmmanTemple,Kanchipuram,Tamilnadu,"12.8407,79.7032",4.7
ChettinadMaharaja'sPalace,Chettinad,Tamilnadu,"10.1746,78.7794",4.4
SriRanganathaSwamyTemple,Tiruchirapalli,Tamilnadu,"1051′45″,7841′23″",4.6
SreePadmanabhaswamyTemple,Thiruvananthapuram,Kerala,"8.4828,76.9436",4.8
PeriyarNationalPark,Idukki,Kerala,"9.4622,77.2368",4.3
EravikulamNationalPark,Munnar,Kerala,"10.1377,77.0608",4.3
AlappuzhaBeach,Alappuzha,Kerala,"9.4927,76.3178",4.5
VizhinjamLighthouse,Kovalam,Kerala,"822′59″,7658′48″",4.6
WayanadWildlifeSanctuary,Wayanad,Kerala,"11.6716,76.3687",4.1
CheraiBeach,Kochi,Kerala,"10.1416,76.1783",4.4
AthirappillyWaterFalls,Thrissur,Kerala,"10.2851,76.5698",4.6
JatayuEarth'sCenter,Chadayamangalam,Kerala,"851′57″,7652′02″",4.4
PalakkadFort,Palakkad,Kerala,"10.7637,76.6571",4.3
SantaCruzCathedralBasilicaFortKochi,Kochi,Kerala,"9.9649,76.2428",4.5
CheeyaparaWaterfalls,Munnar,Kerala,"10.0539,76.8294",4.3
KozhikodeBeach,Khozhikode,Kerala,"11.2626,75.7673",4.5
AshtamudiLake,Ashtamudi,Kerala,"8.9592,76.5777",4.5
IdukkiDam,Idukki,Kerala,"9.8434,76.9763",4.5
KizhunnaBeach,Kannur,Kerala,"11.8280,75.4129",4.5
TeaMuseum,Munnar,Kerala,"10.095544,77.050717",3.8
Valiyaparamba,Kasargod,Kerala,"12.1510,75.1420",4.4
SilentValleyNationalPark,Mannarkkad,Kerala,"11.0694,76.4280",4.5
PampadumSholaNationalPark,Idukki,Kerala,"108′38″,7716′1″",4.5
JogFalls,Shivamogga,Karnataka,"14.2294,74.8125",4.6
Raja'sSeat(Coorg),Madikeri,Karnataka,"12.4151,75.7378",4.3
SriBhootanaathaGudi,Badami,Karnataka,"15.9208,75.6877",4.7
Mysorepalace,Mysore,Karnataka,"12.3052,76.6552",4.6
VirupakshaTemple,Hampi,Karnataka,"15.3351,76.4587",4.7
OmBeach,Gokarna,Karnataka,"14.5192,74.3230",4.5
St.Mary'sIsland,Udupi,Karnataka,"13.3792,74.6733",4.5
MullayanagiriPeak,Chikkamagaluru,Karnataka,"13.3909,75.7213",4.7
LotusMahal,Hampi,Karnataka,"15.3203,76.4713",4.6
NagaraholeTigerReserve,Hunsur,Karnataka,"1215'37.69"",7617'34.4""",4.4
LalbaghBotanicalGarden,Bengaluru,Karnataka,"12.9507,77.5848",4.4
NandiHills,Chikballapur,Karnataka,"13.3702,77.6835",4
SriMurudeshwaraShivatemple,Murdeshwar,Karnataka,"14.0937,74.4848",4.7
SriMahabaleshwaraSwamiTemple,Gokarna,Karnataka,"1432′36″,7418′59″",4.6
VisvesvarayaIndustrial&TechnicalMuseum,Bengaluru,Karnataka,"12.975100,77.596400",4.6
TipuSultan'sSummerPalace,Bengaluru,Karnataka,"12.9594,77.5736",3.9
BengaluruPalace,Bengaluru,Karnataka,"12.9988,77.5921",4.2
ISKCONtempleBangalore,Bengaluru,Karnataka,"13.0098,77.5511",4.6
SykesPoint,Dandeli,Karnataka,"155'0"",7438'55""",4.7
CubbonPark,Bengaluru,Karnataka,"12.9779,77.5952",4.4
Charminar,Hyderabad,Telangana,"17.3616,78.4747",4.5
GolcondaFort,Hyderabad,Telangana,"17.3833,78.4011",4.4
BirlaMandir,Hyderabad,Telangana,"17.4062,78.4691",4.7
SalarJungMuseum,Hyderabad,Telangana,"17.3716,78.4802",4.4
ThousandPillarTemple,Warangal,Telangana,"1800′13.4″,7934′29.1″",4.5
RamappaTemple,Mulugu,Telangana,"18.2593,79.9433",4.7
StatueOfEquality,Muchintal,Telangana,"17.1860,78.3332",4.6
RamojiFilmCity,Abdullahpurmet,Telangana,"17.2543,78.6808",4.4
SriLakshmiNarasimhaSwamyTemple,Yadagirigutta,Telangana,"17.5889,78.9443",4.5
Chowmahallapalace,Hyderabad,Telangana,"17.3578,78.4717",4.4
Kuntalawaterfalls,Adilabad,Telangana,"19.2847,78.5033",4.3
Indirapark,Hyderabad,Telangana,"17.4140,78.4840",4.2
warangalfort,Warangal,Telangana,"17.9561,79.6147",4.4
Medakfort,Medak,Telangana,"18.0435,78.2572",4.1
NagarjunaSagarDam,Nalgonda,Telangana,"16.5760,79.3124",4
TajFalaknumaPalace,Hyderabad,Telangana,"17.3315,78.4675",4.6
MallelaThirthamWaterfall,Nagarkurnool,Telangana,"1615′58″,7851′23″",4.4
Meccamasjid,Hyderabad,Telangana,"17.3604,78.4736",4.7
AnantagiriHills,Vikarabad,Telangana,"17.3120,77.8636",4.4
HussainSagar,Hyderabad,Telangana,"17.4239,78.4738",4.3
ChhatrapatiShivajiMaharajTerminus,Mumbai,Maharashtra,"18.9398,72.8354",4.5
AjantaCaves,Aurangabad,Maharashtra,"20.5519,75.7033",4.6
ElloraCaves,Ellora,Maharashtra,"20.0258,75.1780",4.6
Tadoba-AndhariNationalPark,Chandrapur,Maharashtra,"20.2484,79.3607",4.5
ShreeSiddhivinayakTemple,Prabhadevi,Maharashtra,"19.0168,72.8303",4.8
SanjayGandhiNationalPark,Mumbai,Maharashtra,"19.2288,72.9182",4.3
LohagadFort,Lonavala,Maharashtra,"18.7102,73.4759",4.3
ShaniwarWada,Pune,Maharashtra,"1831'9"",7351'19""",4.3
SinhagadFort,Pune,Maharashtra,"18.3663,73.7559",4.6
AgaKhanPalace,Pune,Maharashtra,"18.5525,73.9015",4.3
PawnaLake,Pune,Maharashtra,"18.6668,73.4858",4.5
KanheriCaves,Mumbai,Maharashtra,"19.2059,72.9069",4.5
KarlaCaves,Lonavala,Maharashtra,"18.7833,73.4704",4.4
SydneyPoint,Panchgani,Maharashtra,"17.9367,73.8058",4.4
GatewayOfIndiaMumbai,Mumbai,Maharashtra,"18.9220,72.8347",4.6
Tadoba-AndhariNationalPark,Chandrapur,Maharashtra,"20.2484,79.3607",4.5
Harishchandragad,Ahmednagar,Maharashtra,"19.3864,73.7781",4.7
ElphinstonePoint,Mahabaleshwar,Maharashtra,"17.9639,73.6277",4.5
AurangabadCaves,Aurangabad,Maharashtra,"19.9172,75.3119",4.4
KarnalaBirdSanctuary,Raigad,Maharashtra,"18.8910,73.1219",4.3
ChitrakoteWaterfalls,Bastar,Chhattisgarh,"19.2072,81.7001",4.6
IndravatiNationalPark,Bijapur,Chhattisgarh,"19.2059,81.0313",4.1
TirathgarhWaterfall,Tirathgar,Chhattisgarh,"18.9139,81.8651",4.6
MaikalHills,Kawardha,Chhattisgarh,"22.5000,81.5000",4.3
AmritdharaWaterfall,Bharatpur,Chhattisgarh,"2319'55,8219'14",4.4
MaaBamleshwariTemple,Dongargarh,Chhattisgarh,"2110′46″,8045′9″",4.6
BailadilaRange,Kirandul,Chhattisgarh,"18.7678,81.2299",4.3
MainGateTandulaDamBalod,Balod,Chhattisgarh,"20.7023,81.2224",4.3
KangerGhatiNationalPark,jagdalpur,Chhattisgarh,"18.7787,81.9971",4.2
TigerPoint,Narbadapur,Chhattisgarh,"22.8282,83.3633",4.2
MarineDrive(TelibandhaLake),Raipur,Chhattisgarh,"21.2378,81.6651",4.6
VivekanandaSarovar,Raipur,Chhattisgarh,"21.2325,81.6343",4.3
ChandiMataTemple,Surajpur,Chhattisgarh,"23.6005,83.0003",4.4
GangrelDam,Dhamtari,Chhattisgarh,"20.6167,81.5697",4
JaljaliMainpat,Kamleshwarpur,Chhattisgarh,"22.8211,83.2529",4.2
BhoramdeoTemple,Kawardha,Chhattisgarh,"22.1151,81.1482",4.4
KotumsarCave,Bastar,Chhattisgarh,"18052'09”,;81056'05”",4.4
AchanakmarWildlifeSanctuary,Mungeli,Chhattisgarh,"22.5052,81.7787",4.2
BarnawaparaWildlifeSanctuary,Nanwapara,Chhattisgarh,"21.4511,82.5186",4.4
MaitriBaghZoo,Bhilai,Chhattisgarh,"21.1688,81.3520",4
KanhaTigerReserve,Mandla,MadhyaPadesh,"22.3345,80.6115",4.5
GwaliorFort,Gwalior,MadhyaPadesh,"26.2313,78.1695",4.5
MahakaleshwarJyotirlinga,Ujjain,MadhyaPadesh,"23.1827,75.7682",4.8
ShriPanchPandavCaves,Pachmarhi,MadhyaPadesh,"22.4584,78.4323",4.2
SanchiStupa,Sanchi,MadhyaPadesh,"23.4794,77.7397",4.6
DhuandharWaterfall,Jabalpur,MadhyaPadesh,"23.1263,79.8075",4.4
Bhimbetkarockshelters,AmchhaKhurd,MadhyaPadesh,"22.9395,77.6124",4.5
Khajuraho,Chhatarpur,MadhyaPadesh,"24.8318,79.9199",4
Omkareshwar,Khandwa,MadhyaPadesh,"22.2481,76.1421",4.7
LalBaghPalace,Indore,MadhyaPadesh,"22.7001,75.8471",4.2
PatalpaniWaterFalls,Indore,MadhyaPadesh,"2230′16.09″,7547′57.98″",4.3
BalancingRock,Jabalpur,MadhyaPadesh,"23.1486,79.9047",4.3
BeeFalls,Pachmarhi,MadhyaPadesh,"22.4751,78.4073",4.6
ShriRamGhat,Ujjain,MadhyaPadesh,"23.1861,75.7640",4.5
